customer_name,contact_name,lat,lng,tags
Arthur,Arthur,47.1041435,-97.2181431,ND
Briarwood,Briarwood,46.7860752,-96.7970272,ND
Buffalo,Buffalo,46.9196986,-97.5495386,ND
Casselton,Casselton,46.9005292,-97.2111999,ND
Davenport,Davenport,46.7141358,-97.0700892,ND
Fargo,Fargo,46.8771863,-96.7898034,ND
Frontier,Frontier,46.8005206,-96.8331391,ND
Gardner,Gardner,47.1471966,-96.9678613,ND
Grandin,Grandin,47.2369226,-97.001473,ND
Harwood,Harwood,46.9794115,-96.8806377,ND
Horace,Horace,46.7588553,-96.9036971,ND
Hunter,Hunter,47.1905344,-97.2170321,ND
Kindred,Kindred,46.6485779,-97.0170323,ND
Leonard,Leonard,46.6519149,-97.2456467,ND
Mapleton,Mapleton,46.8891375,-97.0525872,ND
North River,North River,46.9507978,-96.8025805,ND
Page,Page,47.1597055,-97.5712038,ND
Prairie Rose,Prairie Rose,46.8174651,-96.8356389,ND
Reile's Acres,Reile's Acres,46.9269129,-96.8664846,ND
Hill City,Hill City,46.9932847,-93.5985615,MN
Dickinson,Dickinson,46.8791756,-102.7896242,ND
Gladstone,Gladstone,46.8608403,-102.5679579,ND
Richardton,Richardton,46.8838957,-102.3157292,ND
Almont,Almont,46.7252795,-101.5026443,ND
Flasher,Flasher,46.4561128,-101.2326433,ND
Glen Ullin,Glen Ullin,46.8150051,-101.829877,ND
Hebron,Hebron,46.9005626,-102.0454416,ND
Mandan,Mandan,46.8266603,-100.8895762,ND
New Salem,New Salem,46.844999,-101.4112545,ND
Carson,Carson,46.4177836,-101.5648653,ND
Elgin,Elgin,46.4038957,-101.8459791,ND
Leith,Leith,46.3583395,-101.6365298,ND
New Leipzig,New Leipzig,46.3761171,-101.9398717,ND
Braddock,Braddock,46.5644311,-100.0909421,ND
Hague,Hague,46.0285994,-99.9956683,ND
Hazelton,Hazelton,46.4847126,-100.2795573,ND
Linton,Linton,46.2666567,-100.2328916,ND
Fredonia,Fredonia,46.3288597,-99.0956648,ND
Gackle,Gackle,46.6258113,-99.1420541,ND
Napoleon,Napoleon,46.5034317076,-99.7620110415,ND
Amidon,Amidon,46.4822327,-103.3218466,ND
Marmarth,Marmarth,46.2950062,-103.9207615,ND
Verona,Verona,46.3638572,-98.0723229,ND
Dickey,Dickey,46.5369203,-98.4678716,ND
Edgeley,Edgeley,46.3591377,-98.7156564,ND
Jud,Jud,46.5260853,-98.8956607,ND
Kulm,Kulm,46.3019144,-98.9481624,ND
LaMoure,LaMoure,46.3571915,-98.2945434,ND
Marion,Marion,46.6072008,-98.3323162,ND
Mott,Mott,46.3725031,-102.3271061,ND
New England,New England,46.5391751,-102.8682231,ND
Regent,Regent,46.4216712,-102.555719,ND
Elliott,Elliott,46.4021898,-97.8148228,ND
Enderlin,Enderlin,46.623028,-97.6014862,ND
Fort Ransom,Fort Ransom,46.5208041,-97.9262128,ND
Lisbon,Lisbon,46.4416344,-97.6812096,ND
Wahpeton,Wahpeton,46.2652367,-96.6059072,ND
Dwight,Dwight,46.3041254,-96.7381329,ND
Fairmount,Fairmount,46.0549591,-96.6022941,ND
Great Bend,Great Bend,46.1538473,-96.8020228,ND
Hankinson,Hankinson,46.069681,-96.9017476,ND
Lidgerwood,Lidgerwood,46.0755158,-97.1517554,ND
Mantador,Mantador,46.1652369,-96.9773059,ND
Mooreton,Mooreton,46.26857,-96.8761923,ND
